datetime,low,high,open,close,volumefrom,volumeto
08/12/2017 17:00,467.45,478.46,470.59,472.28,26986.33,12755699.03
08/12/2017 18:00,461.55,472.77,472.28,470.24,15716.29,7367523.09
08/12/2017 19:00,454.23,471.25,470.24,460.09,18574.55,8570856.9
08/12/2017 20:00,457.09,463.08,460.09,462.98,13837.56,6372585.07
08/12/2017 21:00,457,468,462.98,459.5,15338.72,7106947.09
08/12/2017 22:00,459.11,465.72,459.5,465.1,16678.02,7699440.1
08/12/2017 23:00,463.15,465.5,465.1,463.45,7050.03,3273718.44
09/12/2017 00:00,461,465.2,463.45,462.12,5705.71,2644113.68
09/12/2017 01:00,461.19,468.01,462.12,466,9363.65,4358028.05
09/12/2017 02:00,462.5,483.21,466,478.76,27498.45,13049417.31
09/12/2017 03:00,472,482,478.76,477.99,14749.15,7051614.22
09/12/2017 04:00,475,487.99,477.99,483.4,22094.24,10641135.48
09/12/2017 05:00,470.1,518,483.4,493.19,75694,37752069.53
09/12/2017 06:00,482.79,500,493.19,496.15,30485.64,14980570.67
09/12/2017 07:00,490,503.33,496.15,503.3,9608.46,4759125.81
09/12/2017 08:00,496.12,507.43,503.3,507.11,11262.47,5646466.66
09/12/2017 09:00,504.26,512,507.11,508.46,13212.56,6731733.99
09/12/2017 10:00,493,509,508.46,497.8,9237.72,4635778.75
09/12/2017 11:00,491.03,500.79,497.8,496.63,8513.04,4218199.06
09/12/2017 12:00,493.42,498.64,496.63,495.66,5203.18,2580336.92
09/12/2017 13:00,484,497.59,495.66,485.63,8925.53,4396625.83
09/12/2017 14:00,485.63,497.49,485.63,497.35,9151.8,4522426.96
09/12/2017 15:00,496.01,516,497.35,511.3,18770.38,9481182.51
09/12/2017 16:00,501,535.1,511.3,511.49,52852.99,27465472.28
09/12/2017 17:00,450,512.95,511.49,469.84,51834.25,25375174.71
09/12/2017 18:00,467.8,487.73,469.84,472.04,26247.83,12500397.84
09/12/2017 19:00,472.04,492,472.04,487.04,15171.68,7329696.79
09/12/2017 20:00,482.99,493,487.04,484.6,13383.68,6550672.14
09/12/2017 21:00,484.6,492.7,484.6,489.62,8940.22,4375672.14
09/12/2017 22:00,480.31,493,489.62,483.1,10173.68,4973816.59
09/12/2017 23:00,480.11,488.04,483.1,485.04,7008.98,3393456.69
10/12/2017 00:00,473.54,486.13,485.04,474.15,7551.23,3608753.88
10/12/2017 01:00,464.31,474.16,474.15,469.5,10880.25,5113016.07
10/12/2017 02:00,461,473.52,469.5,461,7851.94,3672855.22
10/12/2017 03:00,438,462.38,461,439.08,20557.36,9277012.04
10/12/2017 04:00,438,458.2,439.08,451.22,14763.53,6590939.15
10/12/2017 05:00,445,453.7,451.22,453.09,6866.01,3084330.05
